city,temperature,humidity,wind_speed,Cloudiness,latitude
Dingle,74.66,99,15.99,92,11.0
Thompson,24.8,58,11.41,75,55.74
Ushuaia,46.4,70,9.17,40,-54.81
Ocampo,79.74,90,14.83,76,13.56
Kodiak,35.6,80,14.99,90,39.95
Konskie,44.91,94,13.65,76,51.19
Georgetown,73.4,94,4.7,0,6.8
Dossor,19.31,88,9.62,76,47.52
Fukue,53.6,37,10.29,0,35.03
Rikitea,80.28,100,18.23,88,-23.12
Qaanaaq,-11.03,100,2.35,56,77.48
Faanui,80.91,100,12.19,76,-16.48
Mataura,70.47,57,18.41,20,-46.19
Jamestown,67.32,88,9.35,32,-33.21
Nardaran,42.8,100,13.87,90,40.56
Tasiilaq,21.2,62,6.93,20,65.61
Castro,56.34,98,12.37,92,-42.48
Bethel,14.0,72,9.17,90,60.79
Ponta do Sol,65.25,88,2.24,0,-20.63
Bluff,86.67,38,12.64,0,-23.58
Carnarvon,53.78,76,11.92,0,-30.97
Charters Towers,77.45,74,12.59,36,-20.07
Avarua,84.2,70,9.17,20,-21.21
Gobabis,60.8,59,2.24,0,-22.45
Jamestown,67.32,88,9.35,32,-33.21
Lata,46.58,64,2.13,0,30.78
Dudinka,-26.06,40,4.25,12,69.41
Thompson,24.8,58,11.41,75,55.74
Almeirim,52.84,87,9.17,40,39.21
Dalvik,33.8,100,5.82,92,57.79
Tuatapere,64.76,82,18.34,12,-46.13
Hovd,30.2,68,11.41,0,63.83
Rikitea,80.28,100,18.23,88,-23.12
Port-Gentil,80.55,98,7.27,64,-0.72
Kapaa,70.61,60,18.34,20,22.08
Soyo,75.38,98,2.8,68,-6.13
Narsaq,30.2,39,14.99,20,60.91
Bredasdorp,62.6,82,7.16,56,-34.53
Saint-Philippe,31.1,87,9.17,90,45.36
Vaini,74.03,52,4.09,0,15.34
Ushuaia,46.4,70,9.17,40,-54.81
Ribeira Grande,62.19,99,26.51,92,38.52
Hobart,66.2,48,8.05,75,-42.88
Albany,30.16,78,3.87,90,42.65
Hobart,66.2,48,8.05,75,-42.88
Eureka,50.56,100,6.93,1,40.8
Carnarvon,53.78,76,11.92,0,-30.97
Laguna,79.92,34,6.11,32,27.52
Rikitea,80.28,100,18.23,88,-23.12
Kloulklubed,88.65,52,8.05,75,7.04
Bluff,86.67,38,12.64,0,-23.58
Remedios,71.6,83,2.24,20,22.5
Ushuaia,46.4,70,9.17,40,-54.81
Panzhihua,66.06,44,3.53,0,26.59
Cape Town,60.8,87,2.24,0,-33.93
Hobart,66.2,48,8.05,75,-42.88
Ribeira Grande,62.19,99,26.51,92,38.52
Makakilo City,73.4,53,9.17,20,21.35
Nikolskoye,21.2,100,4.47,75,59.7
Longyearbyen,6.8,71,13.87,0,78.22
Zhezkazgan,17.6,92,11.18,90,47.8
Chokurdakh,-26.78,42,3.13,8,70.62
East London,66.2,82,5.82,0,-33.02
Katsuura,53.6,46,5.82,0,33.93
